                      column  non null ratio  unique  numneric_ratio  datetime_ratio                                                                                        sample_values
                  sk_id_curr            1.00  307511            1.00             0.1                                                               100002, 100003, 100004, 100006, 100007
                      target            1.00       2            1.00             0.0                                                                                                 1, 0
          name_contract_type            1.00       2            0.00             0.0                                                                          Cash loans, Revolving loans
                 code_gender            1.00       3            0.00             0.0                                                                                            M, F, XNA
                flag_own_car            1.00       2            0.00             0.0                                                                                                 N, Y
             flag_own_realty            1.00       2            0.00             0.0                                                                                                 Y, N
                cnt_children            1.00      15            1.00             0.0                                                                                        0, 1, 2, 3, 4
            amt_income_total            1.00    2548            1.00             0.0                                                      202500.0, 270000.0, 67500.0, 135000.0, 121500.0
                  amt_credit            1.00    5603            1.00             0.0                                                    406597.5, 1293502.5, 135000.0, 312682.5, 513000.0
                 amt_annuity            1.00   13672            1.00             0.0                                                           24700.5, 35698.5, 6750.0, 29686.5, 21865.5
             amt_goods_price            1.00    1002            1.00             0.0                                                    351000.0, 1129500.0, 135000.0, 297000.0, 513000.0
             name_type_suite            1.00       7            0.00             0.0                                            Unaccompanied, Family, Spouse, partner, Children, Other_A
            name_income_type            1.00       8            0.00             0.0                                  Working, State servant, Commercial associate, Pensioner, Unemployed
         name_education_type            1.00       5            0.00             0.0 Secondary / secondary special, Higher education, Incomplete higher, Lower secondary, Academic degree
          name_family_status            1.00       6            0.00             0.0                                      Single / not married, Married, Civil marriage, Widow, Separated
           name_housing_type            1.00       6            0.00             0.0             House / apartment, Rented apartment, With parents, Municipal apartment, Office apartment
  region_population_relative            1.00      81            1.00             0.0                                         0.018801, 0.003540999999999999, 0.010032, 0.008019, 0.028663
                  days_birth            1.00   17460            1.00             0.0                                                                -9461, -16765, -19046, -19005, -19932
               days_employed            1.00   12574            1.00             0.0                                                                      -637, -1188, -225, -3039, -3038
           days_registration            1.00   15688            1.00             0.0                                                          -3648.0, -1186.0, -4260.0, -9833.0, -4311.0
             days_id_publish            1.00    6168            1.00             0.0                                                                     -2120, -291, -2531, -2437, -3458
                 own_car_age            0.34      62            0.34             0.0                                                                           26.0, 17.0, 8.0, 23.0, 7.0
                  flag_mobil            1.00       2            1.00             0.0                                                                                                 1, 0
              flag_emp_phone            1.00       2            1.00             0.0                                                                                                 1, 0
             flag_work_phone            1.00       2            1.00             0.0                                                                                                 0, 1
            flag_cont_mobile            1.00       2            1.00             0.0                                                                                                 1, 0
                  flag_phone            1.00       2            1.00             0.0                                                                                                 1, 0
                  flag_email            1.00       2            1.00             0.0                                                                                                 0, 1
             occupation_type            0.69      18            0.00             0.0                                                 Laborers, Core staff, Accountants, Managers, Drivers
             cnt_fam_members            1.00      17            1.00             0.0                                                                              1.0, 2.0, 3.0, 4.0, 5.0
        region_rating_client            1.00       3            1.00             0.0                                                                                              2, 1, 3
 region_rating_client_w_city            1.00       3            1.00             0.0                                                                                              2, 1, 3
  weekday_appr_process_start            1.00       7            0.00             0.0                                                        WEDNESDAY, MONDAY, THURSDAY, SUNDAY, SATURDAY
     hour_appr_process_start            1.00      24            1.00             0.0                                                                                    10, 11, 9, 17, 16
  reg_region_not_live_region            1.00       2            1.00             0.0                                                                                                 0, 1
  reg_region_not_work_region            1.00       2            1.00             0.0                                                                                                 0, 1
 live_region_not_work_region            1.00       2            1.00             0.0                                                                                                 0, 1
      reg_city_not_live_city            1.00       2            1.00             0.0                                                                                                 0, 1
      reg_city_not_work_city            1.00       2            1.00             0.0                                                                                                 0, 1
     live_city_not_work_city            1.00       2            1.00             0.0                                                                                                 0, 1
           organization_type            1.00      58            0.00             0.0                                          Business Entity Type 3, School, Government, Religion, Other
                ext_source_1            0.44  114584            0.44             0.0  0.08303696739132256, 0.3112673113812225, 0.7747614130547695, 0.5873340468730377, 0.3197601716755032
                ext_source_2            1.00  119831            1.00             0.0   0.2629485927471776, 0.6222457752555098, 0.5559120833904428, 0.6504416904014653, 0.3227382869704046
                ext_source_3            0.80     814            0.80             0.0  0.13937578009978951, 0.7295666907060153, 0.6212263380626669, 0.4920600938649263, 0.5406544504453575
