                     column  non null ratio  unique  numneric_ratio  datetime_ratio                                                                                         sample_values
                 sk_id_prev            1.00 1670214            1.00            0.00                                                           2030495, 2802425, 2523466, 2819243, 1784265
                 sk_id_curr            1.00  338857            1.00            0.10                                                                271877, 108129, 122040, 176158, 202054
         name_contract_type            1.00       4            0.00            0.00                                                      Consumer loans, Cash loans, Revolving loans, XNA
                amt_annuity            0.78  357959            0.78            0.00                                                   1730.43, 25188.615, 15060.735, 47041.335, 31924.395
            amt_application            1.00   93885            1.00            0.00                                                       17145.0, 607500.0, 112500.0, 450000.0, 337500.0
                 amt_credit            1.00   86803            1.00            0.00                                                       17145.0, 679671.0, 136444.5, 470790.0, 404055.0
           amt_down_payment            0.46   29278            0.46            0.00                                                                 0.0, 12649.5, 1350.0, 9000.0, 13500.0
            amt_goods_price            0.77   93885            0.77            0.00                                                       17145.0, 607500.0, 112500.0, 450000.0, 337500.0
 weekday_appr_process_start            1.00       7            0.00            0.00                                                           SATURDAY, THURSDAY, TUESDAY, MONDAY, FRIDAY
    hour_appr_process_start            1.00      24            1.00            0.00                                                                                       15, 11, 7, 9, 8
flag_last_appl_per_contract            1.00       2            0.00            0.00                                                                                                  Y, N
     nflag_last_appl_in_day            1.00       2            1.00            0.00                                                                                                  1, 0
          rate_down_payment            0.46  207033            0.46            0.00                 0.0, 0.1039712869911545, 0.05132379401936423, 0.13137405417260664, 0.0659322515845571
      rate_interest_primary            0.00     148            0.00            0.00 0.18283180324152784, 0.19691431485889155, 0.1891363481808909, 0.6956675733877368, 0.19175733877365972
   rate_interest_privileged            0.00      25            0.00            0.00     0.8673361522198731, 0.8350951374207188, 0.5687103594080338, 0.8451374207188159, 0.852536997885835
     name_cash_loan_purpose            1.00      25            0.00            0.00                                                     XAP, XNA, Repairs, Everyday expenses, Car repairs
       name_contract_status            1.00       4            0.00            0.00                                                             Approved, Refused, Canceled, Unused offer
              days_decision            1.00    2922            1.00            0.00                                                                           -73, -164, -301, -512, -781
          name_payment_type            1.00       4            0.00            0.00     Cash through the bank, XNA, Non-cash from your account, Cashless from the account of the employer
         code_reject_reason            1.00       9            0.00            0.00                                                                         XAP, HC, LIMIT, CLIENT, SCOFR
            name_type_suite            0.51       7            0.00            0.00                                             Unaccompanied, Spouse, partner, Family, Children, Other_B
           name_client_type            1.00       4            0.00            0.00                                                                         Repeater, New, Refreshed, XNA
        name_goods_category            1.00      28            0.00            0.00                           Mobile, XNA, Consumer Electronics, Construction Materials, Auto Accessories
             name_portfolio            1.00       5            0.00            0.00                                                                           POS, Cash, XNA, Cards, Cars
          name_product_type            1.00       3            0.00            0.00                                                                                  XNA, x-sell, walk-in
               channel_type            1.00       8            0.00            0.00                        Country-wide, Contact center, Credit and cash offices, Stone, Regional / Local
           sellerplace_area            1.00    2097            1.00            0.02                                                                                  35, -1, 200, 83, 130
       name_seller_industry            1.00      11            0.00            0.00                                           Connectivity, XNA, Consumer electronics, Industry, Clothing
                cnt_payment            0.78      49            0.78            0.00                                                                          12.0, 36.0, 24.0, 18.0, 54.0
           name_yield_group            1.00       5            0.00            0.00                                                             middle, low_action, high, low_normal, XNA
        product_combination            1.00      17            0.00            0.00 POS mobile with interest, Cash X-Sell: low, Cash X-Sell: high, Cash X-Sell: middle, Cash Street: high
         days_first_drawing            0.60    2838            0.60            0.00                                                              365243.0, -277.0, -265.0, -479.0, -332.0
             days_first_due            0.60    2892            0.60            0.00                                                                 -42.0, -134.0, -271.0, -482.0, -654.0
  days_last_due_1st_version            0.60    4605            0.60            0.00                                                                    300.0, 916.0, 59.0, -152.0, -144.0
              days_last_due            0.60    2873            0.60            0.00                                                               -42.0, 365243.0, -182.0, -144.0, -345.0
           days_termination            0.60    2830            0.60            0.00                                                               -37.0, 365243.0, -177.0, -137.0, -334.0
  nflag_insured_on_approval            0.60       2            0.60            0.00                                                                                              0.0, 1.0
